sweep_folder,De,Wi_e,feature_score,de_key,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,sample_id,De_bar,Wi_e_bar,source_kind,dataset,R_ve,De_ve
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,0.01,0.91543045,0.7,0.01,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.000664461255849341,1.27103052348943,model,anna,0.00018410579,54.31659699567298
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,0.03,0.93391049,0.7,0.03,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.00199338376754802,1.29668915754001,model,anna,0.00050045143,59.94587726525229
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,0.1,0.91573137,0.7,0.1,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.00664461255849341,1.27144833623001,model,anna,0.0018363048,54.45719033136547
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,0.3,0.91556746,0.7,0.3,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.0199338376754802,1.27122075519084,model,anna,0.0055165644,54.381672767202716
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,1.0,0.91605635,0.7,1.0,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.0664461255849341,1.27189955510691,model,anna,0.018315639,54.5981497014655
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,3.0,0.93604906,0.7,3.0,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.199338376754802,1.29965845766173,model,anna,0.049787068,60.25661121478373
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,10.0,1.2390042,0.7,10.0,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,0.664461255849341,1.72029689085785,model,anna,0.074273578,134.63738073854472
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,30.0,2.2216796,0.7,30.0,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,1.99338376754802,3.08469374709328,model,anna,0.082084999,365.47481714655316
S08_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_c2d2,100.0,5.8806056,0.7,100.0,c2d2,fenepm,2700,0.01,0.13,15.0497864427288,0.72022696,0.0329590717732096,0.54105098,0.54017022,0.22,3,0.252165224645081,0.1418,A1,6.64461255849341,8.16493400913512,model,anna,0.082084999,1218.2493904885105
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,0.01,0.85412058,0.7,0.01,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.000719014827298634,1.28118087,model,anna,0.00018410579,54.31659699567298
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,0.03,0.85390867,0.7,0.03,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.0021570444818959,1.280863005,model,anna,0.00055308437,54.24127244818001
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,0.1,0.85451836,0.7,0.1,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.00719014827298634,1.28177754,model,anna,0.0018363048,54.45719033136547
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,0.3,0.85430434,0.7,0.3,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.021570444818959,1.28145651,model,anna,0.0055165644,54.381672767202716
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,1.0,0.85492068,0.7,1.0,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.0719014827298634,1.28238102,model,anna,0.018315639,54.5981497014655
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,3.0,0.87224506,0.7,3.0,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.21570444818959,1.30836759,model,anna,0.049787068,60.25661121478373
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,10.0,1.0809504,0.7,10.0,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,0.719014827298634,1.6214256,model,anna,0.082084999,121.82493904885105
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,30.0,1.9601226,0.7,30.0,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,2.1570444818959,2.9401839,model,anna,0.082084999,365.47481714655316
S07_caber_sweep_De_NK_2700_hsK_0p01_phi_0p13_drag_constant,100.0,5.0815552,0.7,100.0,constant,fenepm,2700,0.01,0.13,13.9079190307805,0.666666666666667,0.0329590717732096,0.5,0.5,0.22,3,0.252165224645081,0.1418,A1,7.19014827298634,7.6223328,model,anna,0.082084999,1218.2493904885105
S12_caber_sweep_De_NK_8760_hsK_0p01_phi_0p23_drag_c2d2,0.01,0.47135601,0.7,0.01,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,A2,0.00017152816871032,1.01319549120751,model,anna,0.00022486732,44.47066830342444
S12_caber_sweep_De_NK_8760_hsK_0p01_phi_0p23_drag_c2d2,0.03,0.47137812,0.7,0.03,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,A2,0.000514584506130961,1.01324301739119,model,anna,0.00067553878,44.408997511586236
S12_caber_sweep_De_NK_8760_hsK_0p01_phi_0p23_drag_c2d2,0.1,0.4713153,0.7,0.1,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,A2,0.0017152816871032,1.01310798370241,model,anna,0.0022428677,44.58577739560831
S12_caber_sweep_De_NK_8760_hsK_0p01_phi_0p23_drag_c2d2,0.3,0.47133708,0.7,0.3,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,A2,0.00514584506130961,1.01315480054007,model,anna,0.006737947,44.5239477247298
S12_caber_sweep_De_NK_8760_hsK_0p01_phi_0p23_drag_c2d2,1.0,0.47127529,0.7,1.0,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,A2,0.017152816871032,1.0130219808707,model,anna,0.022370772,44.70118420589151
S12_caber_sweep_De_NK_8760_hsK_0p01_phi_0p23_drag_c2d2,3.0,0.4701359,0.7,3.0,c2d2,fenepm,8760,0.01,0.23,58.2994622701778,0.46521724,0.0122752825581636,0.44120908,0.34891293,0.22,3,0.280074398576929,0.1418,A2,0.0514584506130961,1.01057282399939,model,anna,0.060810063,49.333940009238276
