dataset,sample_id,source_kind,drag_model,De,Wi_e,NK,phi,hK_star
anna,A1,model,c2d2,0.01,0.91543045,,,
anna,A1,model,c2d2,0.03,0.93391049,,,
anna,A1,model,c2d2,0.1,0.91573137,,,
anna,A1,model,c2d2,0.3,0.91556746,,,
anna,A1,model,c2d2,1.0,0.91605635,,,
anna,A1,model,c2d2,3.0,0.93604906,,,
anna,A1,model,c2d2,10.0,1.2390042,,,
anna,A1,model,c2d2,30.0,2.2216796,,,
anna,A1,model,c2d2,100.0,5.8806056,,,
anna,A1,model,c2d2,0.01,0.85412058,,,
anna,A1,model,c2d2,0.03,0.85390867,,,
anna,A1,model,c2d2,0.1,0.85451836,,,
anna,A1,model,c2d2,0.3,0.85430434,,,
anna,A1,model,c2d2,1.0,0.85492068,,,
anna,A1,model,c2d2,3.0,0.87224506,,,
anna,A1,model,c2d2,10.0,1.0809504,,,
anna,A1,model,c2d2,30.0,1.9601226,,,
anna,A1,model,c2d2,100.0,5.0815552,,,
anna,A2,model,c2d2,0.01,0.47135601,,,
anna,A2,model,c2d2,0.03,0.47137812,,,
anna,A2,model,c2d2,0.1,0.4713153,,,
anna,A2,model,c2d2,0.3,0.47133708,,,
anna,A2,model,c2d2,1.0,0.47127529,,,
anna,A2,model,c2d2,3.0,0.4701359,,,
anna,A2,model,c2d2,10.0,0.48014527,,,
anna,A2,model,c2d2,30.0,0.57960579,,,
anna,A2,model,c2d2,100.0,1.0551794,,,
anna,A2,model,c2d2,300.0,2.3299529,,,
anna,A2,model,c2d2,0.01,0.71596961,,,
anna,A2,model,c2d2,0.03,0.71600941,,,
anna,A2,model,c2d2,0.1,0.71589851,,,
anna,A2,model,c2d2,0.3,0.71593619,,,
anna,A2,model,c2d2,1.0,0.7158325,,,
anna,A2,model,c2d2,3.0,0.71525432,,,
anna,A2,model,c2d2,10.0,0.73739521,,,
anna,A2,model,c2d2,30.0,0.8661605,,,
anna,A2,model,c2d2,100.0,1.5105778,,,
anna,A2,model,c2d2,300.0,3.2536009,,,
anna,A3,model,c2d2,0.01,0.28173736,,,
anna,A3,model,c2d2,0.03,0.2817364,,,
anna,A3,model,c2d2,0.1,0.28173927,,,
anna,A3,model,c2d2,0.3,0.28173822,,,
anna,A3,model,c2d2,1.0,0.28174135,,,
anna,A3,model,c2d2,3.0,0.2817402,,,
anna,A3,model,c2d2,10.0,0.29319154,,,
anna,A3,model,c2d2,30.0,0.28235899,,,
anna,A3,model,c2d2,100.0,0.32645506,,,
anna,A3,model,c2d2,300.0,0.50445208,,,
anna,A3,model,c2d2,0.01,0.68615948,,,
anna,A3,model,c2d2,0.03,0.68616066,,,
anna,A3,model,c2d2,0.1,0.68615743,,,
anna,A3,model,c2d2,0.3,0.68615852,,,
anna,A3,model,c2d2,1.0,0.68615552,,,
anna,A3,model,c2d2,3.0,0.68615677,,,
anna,A3,model,c2d2,10.0,0.68644264,,,
anna,A3,model,c2d2,30.0,0.69997351,,,
anna,A3,model,c2d2,100.0,0.80874589,,,
anna,A3,model,c2d2,300.0,1.2059722,,,
anna,A1,experiment,,5.26026778998044,0.77324973876698,,,
anna,A2,experiment,,50.6977747110574,0.745803357314149,,,
anna,A3,experiment,,261.096256684492,0.679824561403509,,,
