dataset,sample_id,source_kind,drag_model,De,Wi_e,NK,phi,hK_star
calabrese,VC1,model,c2d2,0.01,0.39842818,,,
calabrese,VC1,model,c2d2,0.03,0.39840882,,,
calabrese,VC1,model,c2d2,0.1,0.39846459,,,
calabrese,VC1,model,c2d2,0.3,0.39844499,,,
calabrese,VC1,model,c2d2,1.0,0.39850146,,,
calabrese,VC1,model,c2d2,3.0,0.40023721,,,
calabrese,VC1,model,c2d2,10.0,0.45038981,,,
calabrese,VC1,model,c2d2,30.0,0.66211747,,,
calabrese,VC1,model,c2d2,100.0,1.550321,,,
calabrese,VC1,model,c2d2,0.01,0.75289929,,,
calabrese,VC1,model,c2d2,0.03,0.7528549,,,
calabrese,VC1,model,c2d2,0.1,0.75298555,,,
calabrese,VC1,model,c2d2,0.3,0.75293868,,,
calabrese,VC1,model,c2d2,1.0,0.75307754,,,
calabrese,VC1,model,c2d2,3.0,0.75847487,,,
calabrese,VC1,model,c2d2,10.0,0.85130706,,,
calabrese,VC1,model,c2d2,30.0,1.2334693,,,
calabrese,VC1,model,c2d2,100.0,2.823871,,,
calabrese,VC2,model,c2d2,0.01,0.35868249,,,
calabrese,VC2,model,c2d2,0.03,0.35872619,,,
calabrese,VC2,model,c2d2,0.1,0.35860143,,,
calabrese,VC2,model,c2d2,0.3,0.35864489,,,
calabrese,VC2,model,c2d2,1.0,0.35852089,,,
calabrese,VC2,model,c2d2,3.0,0.35575994,,,
calabrese,VC2,model,c2d2,10.0,0.34942377,,,
calabrese,VC2,model,c2d2,30.0,0.40420957,,,
calabrese,VC2,model,c2d2,100.0,0.7055476,,,
calabrese,VC2,model,c2d2,0.01,0.71448599,,,
calabrese,VC2,model,c2d2,0.03,0.71452773,,,
calabrese,VC2,model,c2d2,0.1,0.71441121,,,
calabrese,VC2,model,c2d2,0.3,0.71445088,,,
calabrese,VC2,model,c2d2,1.0,0.71434143,,,
calabrese,VC2,model,c2d2,3.0,0.71358437,,,
calabrese,VC2,model,c2d2,10.0,0.73331234,,,
calabrese,VC2,model,c2d2,30.0,0.85300564,,,
calabrese,VC2,model,c2d2,100.0,1.4543684,,,
calabrese,VC3,model,c2d2,0.01,0.33112557,,,
calabrese,VC3,model,c2d2,0.03,0.33107426,,,
calabrese,VC3,model,c2d2,0.1,0.33122147,,,
calabrese,VC3,model,c2d2,0.3,0.33116994,,,
calabrese,VC3,model,c2d2,1.0,0.33131781,,,
calabrese,VC3,model,c2d2,3.0,0.33532389,,,
calabrese,VC3,model,c2d2,10.0,0.41177684,,,
calabrese,VC3,model,c2d2,30.0,0.69683688,,,
calabrese,VC3,model,c2d2,100.0,1.7154582,,,
calabrese,VC3,model,c2d2,0.01,0.79499054,,,
calabrese,VC3,model,c2d2,0.03,0.79484258,,,
calabrese,VC3,model,c2d2,0.1,0.79526774,,,
calabrese,VC3,model,c2d2,0.3,0.79511868,,,
calabrese,VC3,model,c2d2,1.0,0.79554714,,,
calabrese,VC3,model,c2d2,3.0,0.80720855,,,
calabrese,VC3,model,c2d2,10.0,0.975825,,,
calabrese,VC3,model,c2d2,30.0,1.6259478,,,
calabrese,VC3,model,c2d2,100.0,3.9415424,,,
calabrese,VC4,model,c2d2,0.01,0.28975113,,,
calabrese,VC4,model,c2d2,0.03,0.28976604,,,
calabrese,VC4,model,c2d2,0.1,0.28972354,,,
calabrese,VC4,model,c2d2,0.3,0.28973832,,,
calabrese,VC4,model,c2d2,1.0,0.28969622,,,
calabrese,VC4,model,c2d2,3.0,0.28831868,,,
calabrese,VC4,model,c2d2,10.0,0.30124594,,,
calabrese,VC4,model,c2d2,30.0,0.38577301,,,
calabrese,VC4,model,c2d2,100.0,0.76105067,,,
calabrese,VC4,model,c2d2,0.01,0.72369372,,,
calabrese,VC4,model,c2d2,0.03,0.72367484,,,
calabrese,VC4,model,c2d2,0.1,0.72373073,,,
calabrese,VC4,model,c2d2,0.3,0.72371057,,,
calabrese,VC4,model,c2d2,1.0,0.72377062,,,
calabrese,VC4,model,c2d2,3.0,0.7262614,,,
calabrese,VC4,model,c2d2,10.0,0.77674561,,,
calabrese,VC4,model,c2d2,30.0,1.0324649,,,
calabrese,VC4,model,c2d2,100.0,2.0628946,,,
calabrese,VC1,experiment,,12.5605007124366,0.570249733659009,,,
calabrese,VC1,experiment,,16.7473342832488,0.570249733659009,,,
calabrese,VC1,experiment,,25.1210014248732,0.641530950366385,,,
calabrese,VC2,experiment,,12.5605007124366,0.366589114495078,,,
calabrese,VC2,experiment,,16.7473342832488,0.366589114495078,,,
calabrese,VC2,experiment,,25.1210014248732,0.366589114495078,,,
calabrese,VC3,experiment,,45.3351868804122,0.788257653377106,,,
calabrese,VC3,experiment,,60.4469158405496,0.771835618931749,,,
calabrese,VC3,experiment,,90.6703737608244,0.823291326860533,,,
calabrese,VC4,experiment,,45.3351868804122,0.48114428193148,,,
calabrese,VC4,experiment,,60.4469158405496,0.474975765496461,,,
calabrese,VC4,experiment,,90.6703737608244,0.544825142775352,,,
