sweep_folder,De,Wi_e,feature_score,de_key,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,sample_id,De_bar,Wi_e_bar,source_kind,dataset,R_ve,De_ve
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,0.01,0.72020096,0.7,0.01,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,0.00292315063772407,0.909119921892631,model,clasen,0.00011166581,89.55292582393841
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,0.03,0.71944313,0.7,0.03,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,0.0087694519131722,0.908163302298,model,clasen,0.00033546263,89.4287390520965
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,0.1,0.7216155,0.7,0.1,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,0.0292315063772407,0.910905515866727,model,clasen,0.0011137751,89.7847330219539
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,0.3,0.72085569,0.7,0.3,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,0.087694519131722,0.909946396889916,model,clasen,0.0033459655,89.66021915049632
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,1.0,0.72303376,0.7,1.0,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,0.292315063772407,0.912695805649766,model,clasen,0.011108997,90.01712755886062
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,3.0,0.78000669,0.7,3.0,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,0.87694519131722,0.984613546042107,model,clasen,0.030197383,99.34635726546237
S20_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_c2d2,10.0,1.402419,0.7,10.0,c2d2,fenepm,11200,0.04,0.004,3.42096636107193,0.792195773799199,0.00906636009588024,0.48509303,0.19360572,0.22,3,0.315381713271493,0.1418,C1,2.92315063772407,1.77029346328661,model,clasen,0.049787068,200.85537071594578
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,0.01,2.5493616,0.7,0.01,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,0.002836,1.28437566484508,model,clasen,0.0001010394,98.97129238693026
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,0.03,2.5466023,0.7,0.03,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,0.008508,1.28298552161393,model,clasen,0.00030353914,98.83404163298347
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,0.1,2.5545123,0.7,0.1,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,0.02836,1.28697060223526,model,clasen,0.0010077854,99.22747442064552
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,0.3,2.5517457,0.7,0.3,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,0.08508,1.28557678124322,model,clasen,0.0030275547,99.08986945801507
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,1.0,2.5596764,0.7,1.0,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,0.2836,1.28957229058375,model,clasen,0.010051836,99.48431311453948
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,3.0,2.7671004,0.7,3.0,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,0.8508,1.39407309498311,model,clasen,0.027323722,109.79470512838624
S19_caber_sweep_De_NK_11200_hsK_0p04_phi_0p004_drag_constant,10.0,5.0308758,0.7,10.0,constant,fenepm,11200,0.04,0.004,3.52609308885755,1.98490338129188,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C1,2.836,2.53456961553748,model,clasen,0.045049202,221.97951475366864
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,0.01,0.60611926,0.7,0.01,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,0.00293508609996419,1.04353809418708,model,clasen,0.00011166581,89.55292582393841
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,0.03,0.60552005,0.7,0.03,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,0.00880525829989257,1.04250645156708,model,clasen,0.00033546263,89.4287390520965
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,0.1,0.60723777,0.7,0.1,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,0.0293508609996419,1.04546380067879,model,clasen,0.0011137751,89.7847330219539
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,0.3,0.60663697,0.7,0.3,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,0.0880525829989257,1.04442942060153,model,clasen,0.0033459655,89.66021915049632
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,1.0,0.60835923,0.7,1.0,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,0.293508609996419,1.04739458610063,model,clasen,0.011108997,90.01712755886062
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,3.0,0.65342474,0.7,3.0,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,0.880525829989257,1.12498257830363,model,clasen,0.030197383,99.34635726546237
S24_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_c2d2,10.0,1.1466794,0.7,10.0,c2d2,fenepm,11200,0.04,0.005,3.40705507757405,0.580830985832068,0.00906636009588024,0.48312041,0.19036151,0.22,3,0.315381713271493,0.1418,C2,2.93508609996419,1.97420493735768,model,clasen,0.049787068,200.85537071594578
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,0.01,2.2132726,0.7,0.01,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,0.002836,1.50144312844134,model,clasen,0.0001010394,98.97129238693026
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,0.03,2.211005,0.7,0.03,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,0.008508,1.49990483061121,model,clasen,0.00030353914,98.83404163298347
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,0.1,2.2175052,0.7,0.1,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,0.02836,1.5043144458676,model,clasen,0.0010077854,99.22747442064552
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,0.3,2.2152317,0.7,0.3,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,0.08508,1.50277214558678,model,clasen,0.0030275547,99.08986945801507
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,1.0,2.221749,0.7,1.0,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,0.2836,1.50719336116636,model,clasen,0.010051836,99.48431311453948
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,3.0,2.3922394,0.7,3.0,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,0.8508,1.6228508899973,model,clasen,0.027323722,109.79470512838624
S23_caber_sweep_De_NK_11200_hsK_0p04_phi_0p005_drag_constant,10.0,4.2548469,0.7,10.0,constant,fenepm,11200,0.04,0.005,3.52609308885755,1.47409685926474,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C2,2.836,2.88640931106947,model,clasen,0.045049202,221.97951475366864
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,0.01,0.28089159,0.7,0.01,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,0.00171608075683255,1.22118566229749,model,clasen,0.0001234098,81.03084195906646
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,0.03,0.28074818,0.7,0.03,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,0.00514824227049766,1.22056218248512,model,clasen,0.00037074354,80.91846994825588
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,0.1,0.27138785,0.7,0.1,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,0.0171608075683255,1.17986783207622,model,clasen,0.001360368,73.50952095315385
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,0.3,0.28101552,0.7,0.3,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,0.0514824227049766,1.22172445215278,model,clasen,0.0036978637,81.12792258946699
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,1.0,0.27162569,0.7,1.0,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,0.171608075683255,1.18090184949882,model,clasen,0.013568559,73.69979376586711
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,3.0,0.29231289,0.7,3.0,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,0.514824227049766,1.27084014930011,model,clasen,0.03337327,89.89230003532768
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,10.0,0.44352429,0.7,10.0,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,1.71608075683255,1.92823681132167,model,clasen,0.049787068,200.85537071594578
S28_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_c2d2,30.0,0.92909541,0.7,30.0,c2d2,fenepm,11200,0.04,0.016,5.82723159162827,0.230015466666667,0.00906636009588024,0.46822165,0.1725116,0.22,3,0.315381713271493,0.1418,C3,5.14824227049766,4.0392736343527,model,clasen,0.05502322,545.2243616422303
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,0.01,1.1334977,0.7,0.01,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.00160701232699477,1.70024655,model,clasen,0.00011166581,89.55292582393841
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,0.03,1.1328247,0.7,0.03,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.00482103698098432,1.69923705,model,clasen,0.00033546263,89.4287390520965
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,0.1,1.134754,0.7,0.1,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.0160701232699477,1.702131,model,clasen,0.0011137751,89.7847330219539
S27_caber_sweep_De_NK_11200_hsK_0p04_phi_0p016_drag_constant,0.3,1.1340791,0.7,0.3,constant,fenepm,11200,0.04,0.016,6.22272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C3,0.0482103698098432,1.70111865,model,clasen,0.0033459655,89.66021915049632
