dataset,sample_id,source_kind,drag_model,De,Wi_e,NK,phi,hK_star
clasen,C1,model,c2d2,0.01,0.72020096,,,
clasen,C1,model,c2d2,0.03,0.71944313,,,
clasen,C1,model,c2d2,0.1,0.7216155,,,
clasen,C1,model,c2d2,0.3,0.72085569,,,
clasen,C1,model,c2d2,1.0,0.72303376,,,
clasen,C1,model,c2d2,3.0,0.78000669,,,
clasen,C1,model,c2d2,10.0,1.402419,,,
clasen,C1,model,c2d2,0.01,2.5493616,,,
clasen,C1,model,c2d2,0.03,2.5466023,,,
clasen,C1,model,c2d2,0.1,2.5545123,,,
clasen,C1,model,c2d2,0.3,2.5517457,,,
clasen,C1,model,c2d2,1.0,2.5596764,,,
clasen,C1,model,c2d2,3.0,2.7671004,,,
clasen,C1,model,c2d2,10.0,5.0308758,,,
clasen,C2,model,c2d2,0.01,0.60611926,,,
clasen,C2,model,c2d2,0.03,0.60552005,,,
clasen,C2,model,c2d2,0.1,0.60723777,,,
clasen,C2,model,c2d2,0.3,0.60663697,,,
clasen,C2,model,c2d2,1.0,0.60835923,,,
clasen,C2,model,c2d2,3.0,0.65342474,,,
clasen,C2,model,c2d2,10.0,1.1466794,,,
clasen,C2,model,c2d2,0.01,2.2132726,,,
clasen,C2,model,c2d2,0.03,2.211005,,,
clasen,C2,model,c2d2,0.1,2.2175052,,,
clasen,C2,model,c2d2,0.3,2.2152317,,,
clasen,C2,model,c2d2,1.0,2.221749,,,
clasen,C2,model,c2d2,3.0,2.3922394,,,
clasen,C2,model,c2d2,10.0,4.2548469,,,
clasen,C3,model,c2d2,0.01,0.28089159,,,
clasen,C3,model,c2d2,0.03,0.28074818,,,
clasen,C3,model,c2d2,0.1,0.27138785,,,
clasen,C3,model,c2d2,0.3,0.28101552,,,
clasen,C3,model,c2d2,1.0,0.27162569,,,
clasen,C3,model,c2d2,3.0,0.29231289,,,
clasen,C3,model,c2d2,10.0,0.44352429,,,
clasen,C3,model,c2d2,30.0,0.92909541,,,
clasen,C3,model,c2d2,0.01,1.1334977,,,
clasen,C3,model,c2d2,0.03,1.1328247,,,
clasen,C3,model,c2d2,0.1,1.134754,,,
clasen,C3,model,c2d2,0.3,1.1340791,,,
clasen,C3,model,c2d2,1.0,1.1360138,,,
clasen,C3,model,c2d2,3.0,1.186783,,,
clasen,C3,model,c2d2,10.0,1.7507182,,,
clasen,C3,model,c2d2,30.0,3.6927453,,,
clasen,C4,model,c2d2,0.01,0.19624317,,,
clasen,C4,model,c2d2,0.03,0.19624266,,,
clasen,C4,model,c2d2,0.1,0.19624434,,,
clasen,C4,model,c2d2,0.3,0.19624368,,,
clasen,C4,model,c2d2,1.0,0.19624577,,,
clasen,C4,model,c2d2,3.0,0.19650571,,,
clasen,C4,model,c2d2,10.0,0.22112241,,,
clasen,C4,model,c2d2,30.0,0.34663751,,,
clasen,C4,model,c2d2,100.0,0.81604854,,,
clasen,C4,model,c2d2,0.01,0.79792687,,,
clasen,C4,model,c2d2,0.03,0.79777444,,,
clasen,C4,model,c2d2,0.1,0.79821176,,,
clasen,C4,model,c2d2,0.3,0.79805868,,,
clasen,C4,model,c2d2,1.0,0.79849785,,,
clasen,C4,model,c2d2,3.0,0.8102494,,,
clasen,C4,model,c2d2,10.0,0.95107733,,,
clasen,C4,model,c2d2,30.0,1.5489935,,,
clasen,C4,model,c2d2,100.0,3.6845208,,,
clasen,C5,model,c2d2,0.01,0.17042582,,,
clasen,C5,model,c2d2,0.03,0.17042457,,,
clasen,C5,model,c2d2,0.1,0.17042829,,,
clasen,C5,model,c2d2,0.3,0.17042695,,,
clasen,C5,model,c2d2,1.0,0.17043097,,,
clasen,C5,model,c2d2,3.0,0.1704295,,,
clasen,C5,model,c2d2,10.0,0.1723692,,,
clasen,C5,model,c2d2,30.0,0.18319268,,,
clasen,C5,model,c2d2,100.0,0.29572286,,,
clasen,C5,model,c2d2,0.01,0.71515818,,,
clasen,C5,model,c2d2,0.03,0.7151675,,,
clasen,C5,model,c2d2,0.1,0.71514216,,,
clasen,C5,model,c2d2,0.3,0.71515055,,,
clasen,C5,model,c2d2,1.0,0.71512827,,,
clasen,C5,model,c2d2,3.0,0.71546024,,,
clasen,C5,model,c2d2,10.0,0.74337571,,,
clasen,C5,model,c2d2,30.0,0.88721393,,,
clasen,C5,model,c2d2,100.0,1.5092642,,,
clasen,C6,model,c2d2,0.01,0.14478232,,,
clasen,C6,model,c2d2,0.03,0.1447811,,,
clasen,C6,model,c2d2,0.1,0.14478487,,,
clasen,C6,model,c2d2,0.3,0.14478347,,,
clasen,C6,model,c2d2,1.0,0.14478774,,,
clasen,C6,model,c2d2,3.0,0.14478616,,,
clasen,C6,model,c2d2,10.0,0.14479047,,,
clasen,C6,model,c2d2,30.0,0.14833056,,,
clasen,C6,model,c2d2,100.0,0.15532983,,,
clasen,C6,model,c2d2,0.01,0.69262323,,,
clasen,C6,model,c2d2,0.03,0.69262175,,,
clasen,C6,model,c2d2,0.1,0.69262614,,,
clasen,C6,model,c2d2,0.3,0.69262455,,,
clasen,C6,model,c2d2,1.0,0.69262928,,,
clasen,C6,model,c2d2,3.0,0.69262816,,,
clasen,C6,model,c2d2,10.0,0.69278031,,,
clasen,C6,model,c2d2,30.0,0.71896563,,,
clasen,C6,model,c2d2,100.0,0.89857371,,,
clasen,C1,experiment,,10.8367020743308,2.07015959860731,,,
clasen,C2,experiment,,10.854227799582,1.72260629504192,,,
clasen,C3,experiment,,11.0361457499022,0.848541821697771,,,
clasen,C4,experiment,,11.6325786161918,0.383995760227133,,,
clasen,C5,experiment,,13.7360211457862,0.144835343778299,,,
clasen,C6,experiment,,23.2512678803985,0.0791684688665352,,,
